"id","product_name","brand","model","product_type","quantity","created_at","updated_at","code","description","image_url"
"155","VMA-AS3X-16P09-EU","AVIGILON","VMA-AS3X-16P09-EU","VIDEO APPLIANCE","0","2024-10-02 10:41:24","2024-10-02 11:24:25","0","HD Video Appliance 3X Pro 16-port 9TB, EU, Windows 10 IoT Enterprise v21H2 LTSC","https://www.hattelandtechnology.se/Media/Cache/Images/2/4/WEB_Image_VMA-AS3X-16P09-EU_HD_Video_Appliance_16-_vma-as3x_11182037596_plid_276524.png"
"156","VMA-AS3X-16P12-EU","AVIGILON","VMA-AS3X-16P12-EU","VIDEO APPLIANCE","0","2024-10-02 10:41:24","2024-10-02 11:24:25","0","HD Video Appliance 3X Pro 16-port 12TB, EU, Windows 10 IoT Enterprise v21H2 LTSC","https://www.hattelandtechnology.se/Media/Cache/Images/2/7/WEB_Image_VMA-AS3X-16P12-EU_HD_Video_Appliance_16-_vma-as3x_1-1003505519_plid_276527.png"
"157","VMA-AS3X-24P12-EU","AVIGILON","VMA-AS3X-24P12-EU","VIDEO APPLIANCE","0","2024-10-02 10:41:24","2024-10-02 11:24:25","0","HD Video Appliance 3X Pro 24-port 12TB, EU, Windows 10 IoT Enterprise v21H2 LTSC","https://www.hattelandtechnology.se/Media/Cache/Images/2/5/WEB_Image_VMA-AS3X-24P12-EU_HD_Video_Appliance_24-_vma-as3x_1-175618166_plid_276565.png"
"158","VMA-AS3X-24P18-EU","AVIGILON","VMA-AS3X-24P18-EU","VIDEO APPLIANCE","0","2024-10-02 10:41:24","2024-10-02 11:24:25","0","HD Video Appliance 3X Pro 24-port 18TB, EU, Windows 10 IoT Enterprise v21H2 LTSC","https://www.hattelandtechnology.se/Media/Cache/Images/2/7/WEB_Image_VMA-AS3X-24P18-EU_HD_Video_Appliance_24-_vma-as3x_1-1483602424_plid_276567.png"
"159","VMA-AS3X-24P24-EU","AVIGILON","VMA-AS3X-24P24-EU","VIDEO APPLIANCE","0","2024-10-02 10:41:24","2024-10-02 11:24:25","0","HD Video Appliance 3X Pro 24-port 24TB, EU, Windows 10 IoT Enterprise v21H2 LTSC","https://www.hattelandtechnology.se/Media/Cache/Images/2/9/WEB_Image_VMA-AS3X-24P24-EU_HD_Video_Appliance__24_vma-as3x_1-1991580603_plid_276569.png"
"160","VMA-AS3X-8P02-EU","AVIGILON","VMA-AS3X-8P02-EU","VIDEO APPLIANCE","0","2024-10-02 10:41:24","2024-10-02 11:24:25","0","HD Video Appliance 3X 8-port 2TB, EU, Windows 10 IoT Enterprise v21H2 LTSC","https://www.hattelandtechnology.se/Media/Cache/Images/2/9/WEB_Image_VMA-AS3X-24P24-EU_HD_Video_Appliance__24_vma-as3x_1-1991580603_plid_276569.png"
"161","VMA-AS3X-8P04-EU","AVIGILON","VMA-AS3X-8P04-EU","VIDEO APPLIANCE","0","2024-10-02 10:41:24","2024-10-02 11:24:25","0","HD Video Appliance 3X 8-port 4TB, EU, Windows 10 IoT Enterprise v21H2 LTSC","https://www.hattelandtechnology.se/Media/Cache/Images/2/9/WEB_Image_VMA-AS3X-24P24-EU_HD_Video_Appliance__24_vma-as3x_1-1991580603_plid_276569.png"
"162","Protection RJ45 GREY","FS","UTP 23-24AWG","Accessories","0","2024-10-02 11:41:39","2024-10-02 11:43:57","0","Manchons de Protection pour Connecteur Cat6 RJ45, Diamètre Extérieur de 6,0mm pour Câble Réseau Ethernet Cat6 UTP 23 ~ 24AWG, Gris, 50PCS/Paquet","https://resource.fs.com/mall/mainImg/2023051516030975rs5g.jpg"
"163","Protection RJ45 BLACK","FS","UTP 24AWG","Accessories","0","2024-10-02 11:43:57","2024-10-04 10:34:34","0","Manchons de Protection pour Connecteur Cat5e/Cat6 RJ45, Diamètre Extérieur de 5,5mm pour Câble Réseau Ethernet Cat5e UTP 24AWG, Cat5e & Cat6 F/UTP 26AWG, Noir, 50PCS/Paquet","https://resource.fs.com/mall/mainImg/20230515160309n9y6a9.jpg"
"164","Plateau d'Épissure Optique 12 Fibres","FS","CC-12F-FS","Accessories","0","2024-10-02 11:52:02","0","0","Plateau d'Épissure Optique, 12 Fibres, Plastique, 0,69 x 6,42 x 3,96","https://resource.fs.com/mall/products/550x550/28773.main.jpg"
"165","1m Jarretière Optique LC UPC","FS","SMLCDX","Accessories","0","2024-10-02 11:52:02","0","0","1m (3ft) Jarretière Optique LC UPC vers LC UPC Duplex OS2 Monomode PVC (OFNR) 2,0mm","https://resource.fs.com/mall/products/800x800/40191.main.jpg"
"166","2m Jarretière Optique LC UPC","FS","SMLCDX","Accessories","0","2024-10-02 11:52:02","0","0","2m (7ft) Jarretière Optique LC UPC vers LC UPC Duplex OS2 Monomode PVC (OFNR) 2,0mm","https://resource.fs.com/mall/products/800x800/40192.main.jpg"
"167","1m Pigtail à Fibre Optique à Code Couleur Sans Gaine","FS","FS12SM-LCU-CP-1M-PVC","Accessories","0","2024-10-02 11:54:46","0","0","1m (3ft) Pigtail à Fibre Optique à Code Couleur Sans Gaine LC UPC 12 Fibres OS2 Monomode PVC (OFNR) 0.9mm","https://resource.fs.com/mall/products/550x550/42459.main.jpg"
"168","0","15m Câble Réseau Ethernet Cat6a","FS","C6ASFTPSGPVC","Accessories","0","2024-10-02 11:57:04","0","0,6in (0,15m) Câble Réseau Ethernet Cat6a Snagless Blindé (SFTP) PVC CMX, Bleu","https://resource.fs.com/mall/products/550x550/66789.main.jpg"
"169","0","6m Câble Réseau Ethernet Cat6a","FS","C6ASFTPSGPVC","Accessories","0","2024-10-02 11:58:24","0","0,2ft (0,6m) Câble Réseau Ethernet Cat6a Snagless Blindé (SFTP) PVC CM, Bleu","https://resource.fs.com/mall/products/550x550/70664.main.jpg"
"170","Module SFP+ 10GBASE-LR 1310nm 10km DOM LC","FS","SFP-10GLR-31","Accessories","0","2024-10-02 12:02:34","0","0","Cisco SFP-10G-LR Compatible Module SFP+ 10GBASE-LR 1310nm 10km DOM LC Duplex","https://resource.fs.com/mall/mainImg/2024091110162799oyy7.jpg"
"171","0,5m Jarretière Optique LC UPC","FS","SMLCDX","Accessories","0","2024-10-02 12:04:27","0","0","0,5m (1,6ft) Jarretière Optique LC UPC vers LC UPC Duplex OS2 Monomode PVC (OFNR) 2,0mm","https://resource.fs.com/mall/products/800x800/88527.main.jpg"
